Txn_Hash, Method, Block, Age, Value, Txn_Fee 
0x3ecb976b7704701498d319114010db94fc54114f1a56cff9db3861ae36eaa724,Transfer,22421058,10 secs ago,0 BNB,0.00010557
0xda8cf1554d228088ca0e69ca7a8a538cea5e2b7c131211a902f1d971f82eccf4,Checkin,22421058,10 secs ago,0 BNB,0.00038563
0x392215bd6afa69fc25dbbd036cb69bbd3e16f2a74904bea2ae46c5c00f079f76,Transfer,22421058,10 secs ago,0.002 BNB,0.000105
0x28e4b8122610ed5441ed3985d859b74c1ffeab4deecc851effb38a58805fe511,Transfer,22421058,10 secs ago,0.00065301 BNB,0.000105
0xd7f2590e024ce0125fbc7712beff4082076a9b04a5738445b58d0f8205d1d490,Transfer,22421058,10 secs ago,0 BNB,0.00018068
0x76eb17a82126c1be81ed0f00cd0e700a4f0f858e5fd484ee9dcb920d614a6957,Swap Exact ETH F...,22421058,10 secs ago,1.056238592220965 BNB,0.00053533
0x0588deee63cebcc097cf1c52ad6c46fea08fcdff45b9d05034c8eabfe688bfb4,Transfer,22421058,10 secs ago,0.000210565 BNB,0.000105
0xa152f77e426b1522957ff80155bbd6591965ef0939557eb589168cd00b954c52,Swap Exact Token...,22421058,10 secs ago,0 BNB,0.00062623
0x5f82bc714db34f734b6e54e9d9c1076849a640973ea46c943148aa58515c3cca,Sign In,22421058,10 secs ago,0 BNB,0.00012926
0xb077b0fd6dc49cd17c0370a14fce042303aa1897ccd84e3340d2a0d09badc158,Swap Exact Token...,22421058,10 secs ago,0 BNB,0.00278545
0xa9125662a93993a23c3256c9ef87ddae6bda0bb8077ab65c4c08ee4a212568bd,0x60dbcbb5,22421058,10 secs ago,0.01367668 BNB,0.00132572
0x6372afe3cf3f7ec3b9ca842a9362b4e0ed1b5ec42b00fe0258cadde0e428407e,Claim Capped,22421058,10 secs ago,0 BNB,0.00053111
0x8a85760338e3740198a2186b5cddf115eb5be40b6cbc1fef42847c3d78e7480f,Transfer,22421058,10 secs ago,2 BNB,0.000105
0x75145a0e3f8ba917cdbb269f50f290ce68b1f7d3565a7b19614e396c8156473b,Swap ETH For Exa...,22421058,10 secs ago,0.003909986076882 BNB,0.00082502
0x6fd98aa1dfec926c33b1a4160c8fdfdece791f53a2428142808eb6d68d925cea,Swap Exact ETH F...,22421058,10 secs ago,0.630581189942534 BNB,0.00054058
0xb097e9e9a12c6bc5e34cd1d4fc18aca84057a1b6dbb1d9d6a2a20a5eb46e8e1d,Level Up,22421058,10 secs ago,0 BNB,0.00015892
0x1c21bed887a07fd08b1ac661d2ad1d860522427dc37ffb917c7aac0e2877ac1b,Buy And Open,22421058,10 secs ago,0 BNB,0.00025837
0x49d4b84a90dbcb879238fa5d0658afe37a052034d96b55fd61cf7b3f318ceb9e,Swap Exact ETH F...,22421058,10 secs ago,1.096850262357938 BNB,0.00053533
0xd84da536506e90e8e6b938e8c87b6d5f84d517a203264fa8de9f5c6321f4e5e1,0xb92c13c1,22421058,10 secs ago,0 BNB,0.00033493
0x00caf2e2cf0637ce8595abb07ac20e72edea090aa630d8d72b7f5caa75ff45e0,Transfer,22421058,10 secs ago,0 BNB,0.00018069
0xe0bfe4089f3fcd37f08889c36145deae7ac345edcd96132c1cd40d0cf2f1f46c,Transfer,22421058,10 secs ago,0 BNB,0.00019203
0xdb117d36e9166baf2bc2d8ff9e3f262ac260e3ac3909e65bfbbacacd8289ea12,Permit And Trans...,22421058,10 secs ago,0 BNB,0.00026526
0x3ce18f9c68cf4525d20c92f5f271897f8436e22ce1d627ac098cbba2a5dd98ce,Transfer,22421058,10 secs ago,0 BNB,0.00011941
0x59f5e6cb800666e613636b6e4818db43bd319b984a8558cfa040c71604044741,Claim For,22421058,10 secs ago,0 BNB,0.00049278
0x1bfe407aafa4d77d38ed508bce9d6c55c598cdd6c81b54c2a8ddc09f0a830f55,Adventure,22421058,10 secs ago,0 BNB,0.00021767
0x2e1d8187234d3beb954a1c1b8b60fd2dc2784869b4493828586b523d673e22e5,Transfer,22421058,10 secs ago,0 BNB,0.00018069
0xedb0a5adf28331f883eac1fae71018687309333d55c11ec91a0c1fe2ccb8e389,Transfer,22421058,10 secs ago,0 BNB,0.00025557
0x3a4423a9d96d4ac4cda3d7e7d8c46f9ef4c7548552257cde34d63cec64600c35,0x919da82e,22421058,10 secs ago,0 BNB,0.00105125
0x898e53c65d9a3637fec1fc26f7313cd3f645e9528396aa006bd8c4d768240112,Checkin,22421058,10 secs ago,0 BNB,0.00038563
0xa046e79d58624453fb9fbeea73b0adb8812f9ffedfcf496546dccc621165f5f6,Swap Exact ETH F...,22421058,10 secs ago,0.897386234786596 BNB,0.00054058
0x7e857c877d454183c83d4d3f77406d2090703827be598f541a8ad33dcd8b8e96,Enter Staking,22421058,10 secs ago,0 BNB,0.00061492
0x8e76cfd78ff175629108a4a219597671655b825c98f15f3dca874465e20f2652,Transfer*,22421058,10 secs ago,0 BNB,0.0001394
0x4698b1fa5de29b5f933913ea7622b2d6be208c26d0f348ba4179abdfebfc9604,Claim Pending Re...,22421058,10 secs ago,0 BNB,0.00181628
0xd7724bd08c67b30423d362e5af723a25d95d7f4e7ae6e6f93bb86ff8f34d48bb,Transfer,22421058,10 secs ago,0.00672318 BNB,0.000105
0xf17ba1a25ac5290f9c8cbff447be619357a364e5d29c467ff41ea1b5c5fbb6ac,Transfer,22421058,10 secs ago,0.000210565 BNB,0.000105
0x6e548a77bbb70b7c59f0938aa222fbe480d8c7055b4753953c8a081810e95821,Transfer,22421058,10 secs ago,0 BNB,0.00010563
0xf9b4fc02afbd615c4d169ce259d0f76af2e7f4a3c3274f087219f01b9f0b95f6,Transfer,22421058,10 secs ago,0 BNB,0.00010557
0x032fd42ae065b8cbc52b6dd05188900f665c0b31c7489386553c2bffdad32464,Transfer,22421058,10 secs ago,0 BNB,0.00017442
0x54fd281ac09d4c8beb549461a679485c607b1bcb4f2970ccaa81f5ebda6aaafa,Swap Exact ETH F...,22421058,10 secs ago,1.058601542968834 BNB,0.00059575
0xb163eb306da19429985e16f35ee61a3714fdff72917a94cd3f2fd744eb9d4212,Freeze,22421058,10 secs ago,0 BNB,0.00036362
0xc29c611757fb424f6ac93150787e094b7827b2bb950c155cd37728078b684581,Transfer,22421058,10 secs ago,0.000210565 BNB,0.000105
0x03cbeb6a44ee414bf4f8853b0ab549f66b55d6fcc82aaec3f91a716cf59020b5,Swap Exact Token...,22421058,10 secs ago,0 BNB,0.00064709
0xd378f00d5a8014709b60bc9df32e666045d3acfd9d398ba2e484556f0c1f30fa,Transfer,22421058,10 secs ago,0.015 BNB,0.000105
0x0c7b192f39582a77ff32dab409cf86081d1cca2021ad7980e93e172a3d51d0ed,Skip Daily Quest,22421058,10 secs ago,0 BNB,0.00012358
0xefd5f9975a851d11d6d454ad3797a5861abb2439c71e758bf316bcd0f34e0b43,Withdraw Profit,22421058,10 secs ago,0 BNB,0.00055839
